Entity,Code,Year,Mismanaged plastic waste to ocean per capita (kg per year),"GDP per capita, PPP (constant 2021 international $)",World regions according to OWID
Puerto Rico,PRI,2019,0.024207296,41656.33,North America
Qatar,QAT,2019,0,113160.98,Asia
Romania,ROU,2019,0.004131164,36633.363,Europe
Russia,RUS,2019,0.003715586,37319.32,Europe
Saint Kitts and Nevis,KNA,2019,0.018867925,31512.193,North America
Saint Lucia,LCA,2019,2.453551913,22738.248,North America
Saint Vincent and the Grenadines,VCT,2019,0.72972973,16365.325,North America
Samoa,WSM,2019,0,7033.521,Oceania
Sao Tome and Principe,STP,2019,0.358139535,5702.0835,Africa
Saudi Arabia,SAU,2019,0.0000875,62647.715,Asia
Senegal,SEN,2019,0.010370643,4070.6123,Africa
Seychelles,SYC,2019,0,34346.07,Africa
Sierra Leone,SLE,2019,0.463842314,2855.229,Africa
Singapore,SGP,2019,0.028256375,120114.13,Asia
Slovakia,SVK,2019,0,37194.137,Europe
Slovenia,SVN,2019,0.005291005,44580.777,Europe
Solomon Islands,SLB,2019,0.149253731,2661.5999,Oceania
Somalia,SOM,2019,0.000129509,1491.1075,Africa
South Africa,ZAF,2019,0.072850849,14370.238,Africa
South Korea,KOR,2019,0.007554905,46757.26,Asia
Spain,ESP,2019,0.005028136,46896.418,Europe
Sri Lanka,LKA,2019,0.452729319,14637.444,Asia
Sudan,SDN,2019,0.002475883,3625.5232,Africa
Suriname,SUR,2019,2.886402754,22966.74,South America
Sweden,SWE,2019,0.003587086,61232.484,Europe
Syria,SYR,2019,0.002577622,4825.4062,Asia
Tanzania,TZA,2019,0.099732782,3484.6326,Africa
Thailand,THA,2019,0.327550053,21277.84,Asia
Togo,TGO,2019,0.053947043,2501.0308,Africa
Tonga,TON,2019,0,6875.0254,Oceania
Trinidad and Tobago,TTO,2019,2.549820789,33793.707,North America
Tunisia,TUN,2019,0.058828559,13249.224,Africa
Turkey,TUR,2019,0.171748771,28132.053,Asia
Ukraine,UKR,2019,0.01952539,17636.555,Europe
United Arab Emirates,ARE,2019,0.001432811,68887.84,Asia
United Kingdom,GBR,2019,0.010410188,52645.543,Europe
United States,USA,2019,0.007387598,69112.6,North America
Uruguay,URY,2019,0.288272675,30010.574,South America
Vietnam,VNM,2019,0.292560801,11628.614,Asia
World,OWID_WRL,2019,0.126980239,19424.516,
Zimbabwe,ZWE,2019,0,3294.804,Africa
